Name,Question_count,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11
Sylvia Plath,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Graduate level Education?,Dead?,Age over 60?,Write Modern and Thrillers?,
Maya Angelou,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Dead?,Service in Industry over 50yrs?,Married?,Write Fantasy and Fiction?,
Jhumpa Lahiri,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Age over 50?,Female?,Service in Industry over 30yrs?,Humanities?,Literature?,
Charlotte Brontë,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 50?,Write Classic and Realism?,Married?,Female?,
Emily Brontë,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 50?,Write Classic and Realism?,Married?,Born between 1800-1900?,
George Eliot,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 50?,Female?,Born between 1800-1900?,Age over 60?,
Ayn Rand,11,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Married?,Age Over 70?,Graduate level Education?,Arts and humanities?,Fine Arts?
Isabel Allende,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Age Over 80?,Fashion?,Arts and humanities?,Write Modern and Thrillers?,
Zora Neale Hurston,11,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Married?,Age Over 70?,Low Education?,Arts and humanities?,Write Modern and Thrillers?
Audre Lorde,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Graduate level Education?,Dead?,Age over 60?,Write Modern and Thrillers?,
Hilary Mantel,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Art?,Low Education?,Write Modern and Thrillers?,Married?,
Jojo Moyes,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,College level Education?,British?,Literature?,Write Modern and Thrillers?,
Gillian Flynn,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Age over 60?,Fashion?,Fine Arts?,Female?,Write Fantasy and Fiction?,
William Shakespeare,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 50?,Female?,Poet?,Write Classic and Realism?,
Charles Dickens,11,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 60?,Composer?,Write Classic and Realism?,Birth before 1800?,British?
Ernest Hemingway,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Age Over 70?,Born between 1900-1950?,Write Poetry and Philosophical?,Age over 50?,
Mark Twain,11,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Age Over 70?,Fine Arts?,Low Education?,Poet?,Write Classic and Realism?
Leo Tolstoy,11,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Painter?,Write Poetry and Philosophical?,Low Education?,Write Classic and Realism?,Doctor level Education?
F. Scott Fitzgerald,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Justice?,Female?,Age over 60?,Write Classic and Realism?,
Gabriel García Márquez,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Win Nobel?,Female?,College level Education?,Dead?,
Langston Hughes,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Age Over 70?,Born between 1900-1950?,Married?,Age over 60?,
Rabindranath Tagore,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Painter?,Write Poetry and Philosophical?,College level Education?,Born between 1800-1900?,
John Steinbeck,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Age Over 70?,Born between 1900-1950?,Married?,Arts and humanities?,
Geoffrey Chaucer,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 60?,Composer?,Write Classic and Realism?,Birth before 1800?,
James Joyce,11,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 60?,Composer?,Write Classic and Realism?,Birth before 1800?,British?
Oscar Wilde,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 50?,Write Classic and Realism?,Married?,Female?,
Haruki Murakami,11,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Dead?,Humanities?,Fine Arts?,Service in Industry over 40yrs?,Film?,Write Classic and Realism?
Dante Alighieri,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 50?,Female?,Poet?,Italian?,
J.R.R. Tolkien,11,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Painter?,Write Poetry and Philosophical?,Low Education?,Write Classic and Realism?,Doctor level Education?
Franz Kafka,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 50?,Write Classic and Realism?,Write Fantasy and Fiction?,Married?,
Pablo Neruda,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Win Nobel?,Female?,College level Education?,Poet?,
Khalil Gibran,11,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 50?,Write Classic and Realism?,Write Fantasy and Fiction?,Birth before 1800?,Work around Traditional Art?
William Faulkner,9,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Age Over 70?,Born between 1900-1950?,Write Poetry and Philosophical?,,
Lu Xun,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 50?,Female?,Poet?,Write Classic and Realism?,
Matsuo Bashō,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 60?,Composer?,Write Classic and Realism?,Work around Contemporary Art?,
Jorge Luis Borges,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Painter?,Write Poetry and Philosophical?,College level Education?,Win Nobel?,
T.S. Eliot,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Age Over 70?,Fine Arts?,Low Education?,Poet?,
Salman Rushdie,11,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Dead?,Humanities?,Fine Arts?,Service in Industry over 40yrs?,Film?,Write Classic and Realism?
Kahlil Gibran,11,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Age Over 70?,Politics?,Justice?,Female?,Age over 60?,Write Classic and Realism?,Poet?
Orhan Pamuk,11,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Service in Industry over 30yrs?,Married?,Work around Contemporary Art?,Write Modern and Thrillers?,Work around Abstract Art?
Mario Vargas Llosa,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Win Nobel?,Female?,College level Education?,Dead?,
Mo Yan,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Service in Industry over 30yrs?,Married?,Work around Contemporary Art?,Write Modern and Thrillers?,
Naguib Mahfouz,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Win Nobel?,Female?,College level Education?,Poet?,
Saadi Shirazi,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Painter?,Write Poetry and Philosophical?,College level Education?,Born between 1800-1900?,
Li Bai,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 50?,Female?,Poet?,Italian?,
Yasunari Kawabata,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Painter?,Write Poetry and Philosophical?,College level Education?,Win Nobel?,
Stephen King,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Arts and humanities?,College level Education?,Humanities?,Literature?,Write Fantasy and Fiction?,
James Patterson,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Arts and humanities?,College level Education?,Humanities?,Literature?,Write Fantasy and Fiction?,
George R.R. Martin,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Arts and humanities?,College level Education?,Won Oscar?,Humanities?,Married?,
Brandon Sanderson,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Age over 50?,Actress?,Fine Arts?,Female?,Won Grammy more than 5?,
Paulo Coelho,9,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Dead?,Humanities?,Fine Arts?,Service in Industry over 40yrs?,,
Colson Whitehead,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Age over 60?,Fashion?,Fine Arts?,Female?,Write Fantasy and Fiction?,
Xu Zhimo,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 50?,Write Classic and Realism?,Write Fantasy and Fiction?,Married?,
Beyoncé,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Music?,Play Pop music?,Singer?,Won Grammy more than 5?,Play Pop/R&B music?
Madonna,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Age over 60?,Service in Industry over 30yrs?,Female?,Actress?,Won Grammy more than 5?,
Taylor Swift,9,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Fine Arts?,Won Grammy more than 5?,Female?,Play Pop music?,,
Rihanna,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Sports?,Fine Arts?,British?,Australian?,
Adele,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Sports?,Fine Arts?,British?,Dead?,
Whitney Houston,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Fine Arts?,Won Grammy more than 5?,Female?,Play Pop music?,Dead?,
Mariah Carey,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Fine Arts?,Won Grammy more than 5?,Age over 50?,Won Grammy more than once?,Singer?,Service in Industry over 40yrs?
Lady Gaga,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Music?,Play Pop music?,Won Grammy more than once?,Won Grammy more than 5?,
Britney Spears,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Fine Arts?,Won Grammy more than 5?,Age over 50?,Singer?,Won Grammy?,
Celine Dion,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Art?,Low Education?,Age over 60?,Married?,
Shakira,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Actress?,Sports?,Music?,British?,
Katy Perry,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Age over 50?,Actress?,Fine Arts?,Female?,Rapper?,Won Grammy more than once?
Aretha Franklin,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Married?,Age over 60?,Arts and humanities?,Age Over 70?,
Janet Jackson,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Fine Arts?,Won Grammy more than 5?,Age over 50?,Won Grammy more than once?,Singer?,Service in Industry over 40yrs?
Tina Turner,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Dead?,Graduate level Education?,Married?,Play Pop music?,
Dolly Parton,11,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Fine Arts?,Married?,Service in Industry over 50yrs?,Novelist?,Singer?
Christina Aguilera,9,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Fine Arts?,Won Grammy more than 5?,Female?,Play Pop music?,,
Jennifer Lopez,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Age over 60?,Fashion?,Fine Arts?,Female?,Write Fantasy and Fiction?,Married?
Miley Cyrus,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Fine Arts?,Won Grammy more than 5?,Age over 50?,Singer?,Won Grammy?,
Ariana Grande,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Age over 50?,Actress?,Fine Arts?,Female?,Rapper?,Won Grammy more than once?
Sia,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Sports?,Fine Arts?,British?,Australian?,
Diana Ross,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Fine Arts?,Married?,Won Grammy?,Singer?,
Barbra Streisand,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Dead?,Graduate level Education?,Married?,Play Pop music?,
Amy Winehouse,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Sports?,Fine Arts?,British?,Dead?,
Kelly Clarkson,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Music?,Play Pop music?,Won Grammy more than once?,Won Grammy more than 5?,
Gwen Stefani,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Age over 60?,Fashion?,Fine Arts?,Female?,Write Fantasy and Fiction?,Married?
Selena Gomez,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Fine Arts?,Won Grammy more than 5?,Age over 50?,Singer?,Won Grammy?,
Carrie Underwood,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Music?,Play Pop music?,Singer?,Won Grammy more than 5?,Play Pop/R&B music?
Shania Twain,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,College level Education?,Graduate level Education?,Married?,Won Grammy?,
Ella Fitzgerald,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Married?,Age over 60?,Arts and humanities?,Write Poetry and Philosophical?,
Billie Holiday,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Graduate level Education?,Low Education?,Age over 60?,Play Jazz?,
Joni Mitchell,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Age Over 80?,Fashion?,Arts and humanities?,Write Modern and Thrillers?,
Stevie Nicks,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Fine Arts?,Married?,Won Grammy?,Low Education?,
Norah Jones,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Fine Arts?,Won Grammy more than 5?,Female?,Play Pop music?,Dead?,
Lana Del Rey,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Music?,Play Pop music?,Won Grammy more than once?,Female?,
Patti Smith,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Fine Arts?,Married?,Won Grammy?,Low Education?,
Alanis Morissette,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Actress?,Sports?,Canadian?,Won Grammy more than 5?,
Enya,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Art?,Low Education?,Age over 60?,Write Modern and Thrillers?,
Ellie Goulding,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Humanities?,Tech?,Other Political Party?,Write Modern and Thrillers?,
Florence Welch,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Actress?,Sports?,Music?,British?,
Janelle Monáe,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Music?,Play Pop music?,Singer?,Won Grammy more than 5?,Won Grammy more than once?
Halsey,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Music?,Play Pop music?,Won Grammy more than once?,Female?,
Lizzo,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Music?,Play Pop music?,Singer?,Won Grammy more than 5?,Won Grammy more than once?
Cardi B,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Age over 50?,Actress?,Fine Arts?,Female?,Rapper?,
Megan Thee Stallion,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Music?,Play Pop music?,Singer?,Female?,
Donna Summer,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Married?,Age Over 70?,Low Education?,Singer?,
Amy Beach,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Married?,Age Over 70?,Graduate level Education?,Composer?,
Florence Price,11,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Married?,Age Over 70?,Low Education?,Arts and humanities?,Write Modern and Thrillers?
Jennifer Higdon,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Fine Arts?,Won Grammy more than 5?,Age over 50?,Won Grammy more than once?,Singer?,
Fanny Mendelssohn,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 60?,Composer?,Birth before 1800?,Female?,
Nadia Boulanger,9,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Married?,French?,Composer?,,
Kaija Saariaho,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Art?,Low Education?,Write Modern and Thrillers?,Age Over 70?,
Rachel Portman,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Art?,Low Education?,Write Modern and Thrillers?,Age Over 70?,
Libby Larsen,11,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Fine Arts?,Married?,Service in Industry over 50yrs?,Novelist?,Singer?
Rebecca Clarke,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Married?,French?,Age Over 80?,Write Modern and Thrillers?,
Clara Schumann,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Married?,Age Over 80?,Write Poetry and Philosophical?,Composer?,
Faye Wong,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Art?,Low Education?,Age over 60?,Married?,
Na Ying,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Art?,Low Education?,Age over 60?,Married?,
Michael Jackson,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Fine Arts?,Won Grammy more than 5?,Female?,Age over 50?,Dead?,
Bob Dylan,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Arts and humanities?,College level Education?,Humanities?,Literature?,Married?,
Freddie Mercury,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Dead?,Service in Industry over 30yrs?,Humanities?,Play Rock music?,Married?,
David Bowie,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Win Nobel?,Age Over 80?,Low Education?,Dead?,
Elton John,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Win Nobel?,Age Over 80?,Low Education?,Dead?,
John Lennon,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Dead?,Service in Industry over 30yrs?,Humanities?,Play Rock music?,Married?,
Paul McCartney,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Win Nobel?,Age Over 80?,Play Rock music?,Won Grammy more than 5?,
Mick Jagger,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Win Nobel?,Age Over 80?,Play Rock music?,Won Grammy more than 5?,
Bruce Springsteen,11,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Arts and humanities?,College level Education?,Humanities?,Literature?,Married?,Age Over 80?
Bob Marley,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Dead?,Service in Industry over 30yrs?,Humanities?,Play Rock music?,Low Education?,
Johnny Cash,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Age Over 70?,Fine Arts?,Low Education?,Married?,
Eric Clapton,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Win Nobel?,Age Over 80?,Low Education?,Musician?,
Frank Sinatra,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Arts and humanities?,Low Education?,Director?,Won Grammy more than 5?,
Ray Charles,11,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Age Over 70?,Fine Arts?,Low Education?,Married?,Musician?
Marvin Gaye,10,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Political Party?,Age over 60?,Work around Abstract Art?,Actor?,
James Brown,11,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Age Over 70?,Fine Arts?,Low Education?,Married?,Musician?
George Michael,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Service in Industry over 30yrs?,Married?,Play Pop music?,Dead?,
Justin Timberlake,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Age over 50?,Actress?,Fine Arts?,Female?,Won Grammy more than 5?,
Bruno Mars,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Fine Arts?,Won Grammy more than 5?,Female?,Age over 50?,Musician?,
Ed Sheeran,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Married?,College level Education?,Service in Industry over 30yrs?,Musician?,
Drake,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Married?,Low Education?,Won Grammy?,Rapper?,
Eminem,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Fine Arts?,Won Grammy more than 5?,Female?,Age over 50?,Dead?,
Jay-Z,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Age over 50?,Female?,Graduate level Education?,Age over 60?,Play Olympics?,
Kanye West,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Music?,Play Pop music?,Singer?,Female?,Play Hip-Hop?
Pharrell Williams,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Age over 60?,Fashion?,Fine Arts?,Female?,Write Fantasy and Fiction?,
Chris Martin,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Married?,Low Education?,Won Grammy?,British?,
John Mayer,11,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Music?,Play Pop music?,Singer?,Female?,Play Hip-Hop?
Adam Levine,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Music?,Play Pop music?,Won Grammy more than once?,Female?,
Justin Bieber,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Married?,College level Education?,Other Political Party?,Play Classical music?,
Harry Styles,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Married?,Low Education?,British?,Won Grammy?,
Zayn Malik,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Married?,Low Education?,British?,Won Grammy?,
Niall Horan,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Married?,Low Education?,British?,Canadian?,
Shawn Mendes,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Married?,Low Education?,British?,Canadian?,
Ricky Martin,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Service in Industry over 30yrs?,Married?,Play Pop music?,Dead?,
Enrique Iglesias,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Married?,Low Education?,Won Grammy?,Rapper?,
Julio Iglesias,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Win Nobel?,Age Over 80?,Play Rock music?,Female?,
Paul Simon,11,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Arts and humanities?,College level Education?,Humanities?,Literature?,Married?,Age Over 80?
Phil Collins,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Service in Industry over 30yrs?,Married?,Play Pop music?,Service in Industry over 40yrs?,
George Harrison,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Dead?,Service in Industry over 30yrs?,Married?,Arts and humanities?,Fine Arts?,
Steven Tyler,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Arts and humanities?,College level Education?,Won Oscar?,Humanities?,Married?,
Ozzy Osbourne,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Win Nobel?,Age Over 80?,Low Education?,Musician?,
Jack White,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Fine Arts?,Won Grammy more than 5?,Female?,Age over 50?,Musician?,
Johann Sebastian Bach,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 60?,Female?,College level Education?,Composer?,
Wolfgang Amadeus Mozart,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 60?,Composer?,Birth before 1800?,Age over 50?,
Ludwig van Beethoven,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 60?,Composer?,Birth before 1800?,Age over 50?,
Franz Schubert,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 50?,Write Classic and Realism?,Write Fantasy and Fiction?,Birth before 1800?,
Pyotr Ilyich Tchaikovsky,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 60?,Composer?,Birth before 1800?,Female?,
Lang lang,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Married?,College level Education?,Other Political Party?,Play Classical music?,
Joe Hisaishi,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Dead?,Humanities?,Fine Arts?,Service in Industry over 40yrs?,Film?,
Jay Chou,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Married?,College level Education?,Service in Industry over 30yrs?,Musician?,
JJ Lin,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Married?,Low Education?,Won Grammy?,British?,
Coco Chanel,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Married?,French?,Composer?,Work around Traditional Art?,
Diane von Furstenberg,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Age Over 80?,Humanities?,Dead?,Italian?,
Stella McCartney,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,College level Education?,British?,Literature?,Won Oscar?,
Carolina Herrera,9,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Age Over 80?,Fashion?,Married?,,
Cindy Crawford,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Age over 60?,Fashion?,Designer?,Married?,Model?,
